Armour,Defense,Soak,Price,Encumbrance,Hard Points,Rare,Restricted,Description
Phase II ARC Trooper Armour,1,2,5500,4,2,7,Yes,"ARC Trooper Armour was designed as a field test for the basic Phase II clone trooper armour, with additional equipment and accessories. Once the field test was complete, the ARC troopers retained the armour and accessories. Includes an integrated comlink with scrambler capable of using all standard Republic communications protocols. Survival pack incorporates emergency rations, water filtration system, microfiber line and distress beacon."
Jedi Commander Armour,1,2,5000,5,3,8,Yes,"These jedi robes have been modified to be somewhat lighter and more body-gripping. Upon these robes are placed strategic amounts of laminate armour, such as bracers and shoulder pads - all in such a way to not impede Force-assisted maneuvers and acrobatic lightsaber forms. "
Katarn-class Commando Armour,1,2,6500,4,3,8,Yes,"The Katarn-class armour was designed exclusively for use by clone commandos during the Clone Wars, named for a dangerous predatory beast native to Kashyyyk. It continues to be considered one of the most advanced suits of heavy combat armour ever produced. The armour is fully environmentally sealed; resistant to heat, cold, toxins, radiation and other hazardous environments. Helmet is equipped with an integrated combat scanner, encrypted communications suite, and on-board combat computer that monitors the physical conditions of the wearer and any nearby allies wearing the same armour. The suit has an integrated breath mask with an on-board oxygen supply good for six hours of heavy combat. The armour also comes with a modular backpack system that can be tailored to various battlefield roles, such as medpacs, long-range comms etc."
Protector 1 Combat Armour,1,2,5500,4,3,7,Yes,"This is a set of heavier durasteel plates on a mesh suit. Slightly more protective than basic laminate, it has plenty of mobility, being treated favourably by many."
Heavy Battle Armour,1,2,5000,6,4,7,Yes,This heavy-duty armour is primarily used by commandos and a variety of combat oriented personalities going after dangerous foes. May be fully sealed.
Phase I ARC Trooper Armour,1,2,6000,5,4,7,Yes,"Distributed to the elite ARC troopers of the Clone Army, this armour was supposed to bridge the gap between the relatively inexpensive basic clone armour and exclusive Katarn-class suits. The systems built into this armour remove 1 setback dice from all Perception checks made by the wearer and provide all the benefits of a hardened comlink. Increase wearer's encumbrance threshold by 3."
Jedi Battle Armour,1,2,7500,5,5,9,Yes,These suits were crafted by Jedi prior to the Ruusan Reformation in the Old Republic. They are built to fit their owner and provide excellent protection. This can be sealed against vacuum. Wearing unfitted armour adds 2 setback dice to all combat checks. Can fit the armour by passing a hard (3 difficulty) Mechanics check.
Rebel Heavy Battle Armour,1,2,6000,5,5,8,Yes,"Most Alliance field tactics focus on hit-and-fade strikes, sabotage, and denial operations, but sometimes the Rebellion has no choice but to stand and fight against Imperial forces. Unfortunately, the Rebellion lacks the manpower and weapons to dominate the Empire in field warfare. Rebel infantry uses heavy battle armor to help ensure their survival when out manned and outgunned by superior Imperial numbers. Rebel heavy battle armor is a combination of composites, laminate, and armored clothing that provides significant overall protection. The base is made of armorweave cloth to dissipate blaster bolts, and plastoid segments over top to protect from fragmentation and blunt force. The combination of materials provides heavy protection while allowing freedom of movement, unlike most full laminate battle suits. Rebel heavy battle armor is equipped with a helmet-fitted breath mask and respirator (See page 195 of the Age of Rebellion Core Rulebook)"
Mandalorian Armour,1,2,6000,6,5,8,Yes," This specially crafted armour represents the desire to continue the ancient warrior tradition of the Mandalorians. Few are capable of putting together this authentic outfit, and it is almost easier to kill and steal this armour from someone wearing it. The armour itself is easy to customize, which most veteran commandos do."
Waterweave,2,1,6500,7,1,5,No,"Waterweave is a composite material created out of native Semblan alloys and minerals. Outside of the water this armour is extremely bulky and heavy, but becomes virtually weightless when submerged. How this happens is unknown, but lends itself to great submersible combat. While submerged, the encumbrance changes to 0."
Jedi Temple Guard Armour,2,1,12000,4,3,10,Yes,"Used by the guards of the Jedi Temple, this armour is imposing and makes the wearer anonymous thanks to the armoured mask. Mask contains integrated comlink and scanner."
Mk II Explosives Disposal Armour,0,4,5300,8,0,6,No,"The EOD-Mk II is among the most popular explosives disposal suits in the galaxy. This heavy and awkward suit is designed to protect an Engineer working on explosive or potentially dangerous materials. Wearer loses their free movement due to thick padding. The existing data-link allows a connection to control a singel EOD remote (such as the EOD-Mk IV). Despite lacking hardpoints, for 700 credits, the EOD-Mk II can be upgraded with an integrated load-bearing gear system to reduce the encumbrance by 3.-"
Laminate Beast ArmourÂ (for animals),0,4,8500,7,1,7,No,This set of heavy-duty laminate plates is designed to be fit to riding beasts in order to provide further protection than the lighter Capari-series. This can only be worn by riding beasts. Reduce agility of beast by 1. Allows riding of the beast without the bareback penalty.
Leviathan Power Armour,2,2,15000,8,1,8,No,"Each of these suits are a work of art, as all Mon Calamari equipment is. The power armour is considered a technological marvel, fully loaded for war. If the suit is not commissioned for the wearer, upgrade difficulty of Agility and Brawn checks once. Suit is fully sealed and has an integrated respirator. Has the following attachments automatically; heating system, enhanced optics suite, and strength enhancement system. These cannot be removed. Equipped with one Mon Cal Defenses Mini Torpedo Launcher and one Salus DF-D1 Duo-Flechette Rifle."
Hutt Shell Armour,2,2,25000,6,4,9,Yes,"This armour is produced for a group of Hutt warriors, containing a set of repulsor lifts which allow the Hutt to hover 5 metres above the ground. These segmented durasteel cylinders provide excellent armour, reminiscent of lightly armoured vehicle plating.  Hutt may ignore effect of Awkward or Ponderous if possessed. Wearer does not expend additional maneuvers for traversing difficult terrain"
Kav-Dann Power Armour,2,2,13500,4,6,7,Yes,"This set of armour is a super-heavy piece of equipment which is fully sealed and built to withstand even the most extreme conditions in the galaxy... as long as it has a charge. Can survive in vacuum for up to 4 hours. Gain 1 boost dice to resist the effects of radiation. Remove any setback dice caused by darkness, smoke or other environmental factors that might affect vision from all Perception, Vigilance, and Combat checks. Grants Brawn +1 (does not increase soak or wound threshold) as long as it is equipped and powered. If the suit loses power, the encumbrance becomes 12 and defense is lost."
"PX-11 ""Battlement"" Powered Armour",1,3,9000,3,3,9,Yes,"The PX-11 is a heavy piece of armour which uses mechanical and powered musculature to reduce the weight on the user, as well as artificially increase their strength. Suit is vacuum-sealed with life support, allowing wearer to survive in a vacuum or toxic environment for up to 1 hour. Suit helmet has a comlink as well as sophisticated sensors removing 2 setback dice from Perception, Surveillance, Vigilance and combat skill checks due to darkness, smoke, or environmental factors that obscure vision. Power pack lasts 12 hours of use. Brawn +1 while wearing armour (does not increase soak or wound threshold). Athletics skill +1 while wearing armour. If armour loses power, encumbrance becomes 12, defense becomes 0 and lose Brawn increase."
