Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
Disorienting Strike,Passive,No,"After missing an opponent with a Lightsaber combat check, the character may choose to spend two advantage results or a triumph result to disorient their foe for three rounds. Disoriented opponents add a setback dice to all skill checks.",https://star-wars-rpg-ffg.fandom.com/wiki/Disorienting_Strike_talent,True,False,Disorienting Strike-A,False,False
Disruptive Strike,Active (Action),No,"Force talent. The character may take a Disruptive Strike action, making a Lightsaber (Cunning) combat check against one engaged target and adding Force points no greater than Force rating to the check. The character may spend a Force points to add failure results to the target's next combat check made during this encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/Disruptive_Strike_talent,True,True,Disruptive Strike-A,False,False
Distracting Behavior,Active (Maneuver),Yes,"The character may make a Distraction Behavior maneuver and suffer a number of strain no greater than their ranks in Cunning. If they do so, an equal number of adversaries or NPCs they are engaged with suffer a threat result on checks they make until the beginning of the character's next turn. The range of this maneuver increases by one band per rank of Distracting behavior. The character selects who is affected by Distracting Behavior and can choose to have this talent not affect NPC allies. It may be that they explain their tactics to the NPCs beforehand, or that they know them well enough to be used to their antics.",https://star-wars-rpg-ffg.fandom.com/wiki/Distracting_Behavior_talent,True,False,Distracting Behavior-A,True,False
Improved Distracting Behavior,Passive,No,"When affected by Distracting Behavior, NPCs suffer two threat results when making checks targeting the character's allies, instead of one threat result.",https://star-wars-rpg-ffg.fandom.com/wiki/Distracting_Behavior_talent,False,False,Distracting Behavior-B,False,False
Djem So Deflection,"Active (Incidental, Out of Turn)",No,"Force talent. After using the Reflect incidental, the character may spend one Destiny Point to perform a Move maneuver as an out of turn incidental to move closer to or engage an opponent. This incidental may be performed once per round.",https://star-wars-rpg-ffg.fandom.com/wiki/Djem_So_Deflection_talent,True,True,Djem So Deflection-A,False,False
Dockyard Expertise,Active (Action),Yes,"The character may make an Average Knowledge (Education) check when at a dry dock with suitable personnel and equipment to conduct repairs to a starship, or to add attachments or modifications to one. If successful, the cost and time for repairs is reduced by 20% for each rank of Dockyard Expertise to a minimum of 100 credits and one day.",https://star-wars-rpg-ffg.fandom.com/wiki/Dockyard_Expertise_talent,True,False,Dockyard Expertise-A,True,False
Dodge,"Active (Incidental, Out of Turn)",Yes,"When targeted by a combat check (ranged or melee) the character may choose to immediately perform a Dodge incidental to suffer a number of strain, then upgrade the difficulty of the combat check by that number. The number of strain suffered cannot exceed their ranks in Dodge.",https://star-wars-rpg-ffg.fandom.com/wiki/Dodge_talent,True,False,Dodge-A,True,False
Improved Dodge,Active (Incidental),No,"When the character performs the Dodge incidental, the character may make a Move maneuver as an out-of-turn incidental after the triggering attack has been resolved.",https://star-wars-rpg-ffg.fandom.com/wiki/Dodge_talent,False,False,Dodge-B,False,False
Don't Shoot!,Active (Action),No,"Once per session, the character can take the Don't Shoot! action to make a Hard Charm check. If they succeed, they cannot be the target of a combat check until the end of the encounter or until they make a combat check. This player must explain how they make a combat check. This player must explain how they talk their way out of being associated with their party's combatants, and the GM has final say on whether their ruse succeeds.",https://star-wars-rpg-ffg.fandom.com/wiki/Don%27t_Shoot!_talent,True,False,Don't Shoot!-A,False,False
Double Or Nothing,Active (Incidental),No,"Once per check, the character may suffer two strain to increase the difficulty of the check by one. Then, after canceling opposing symbols, they double the number of remaining advantage results.",https://star-wars-rpg-ffg.fandom.com/wiki/Double_Or_Nothing_talent,True,False,Double Or Nothing-A,False,False
Improved Double or Nothing,Passive,No,"When performing the Double or Nothing incidental, after canceling opposing symbols, the character also doubles the number of remaining success results.",https://star-wars-rpg-ffg.fandom.com/wiki/Double_Or_Nothing_talent,False,False,Double or Nothing-B,False,False
Supreme Double or Nothing,Passive,No,"When performing the Double or Nothing incidental, the character also doubles the number of triumph and despair results.",https://star-wars-rpg-ffg.fandom.com/wiki/Double_Or_Nothing_talent,False,False,Double or Nothing-C,False,False
Double-Talk,Passive,No,The character may spend two advantage results or a triumph result from a successful Charm or Deception check to disorient a number of opponents within short range equal to their rating in Presence for the remainder of the current round and the next two rounds.,https://star-wars-rpg-ffg.fandom.com/wiki/Double-Talk_talent,True,False,Double-Talk-A,False,False
Draw Closer,Active (Action),No,"Force talent. The character may take a Draw Closer action, making a Lightsaber (Willpower) melee combat check against one silhouette 1 (or smaller) target within medium range and adding a number of Force dice no greater than Force rating to the check. The character may spend Force points before resolving the success or failure of the check to move the target one range band closer to the character (including from short to engaged). They may also spend a Force point to add success results to the combat check. If the character cannot move their target to engage them, the combat check automatically misses.",https://star-wars-rpg-ffg.fandom.com/wiki/Draw_Closer_talent,True,True,Draw Closer-A,False,False
Droid Commander,Active (Incidental),No,"Once per encounter, the character may perform Field Commander as a maneuver instead of an action. All affected allies must be droids.",https://star-wars-rpg-ffg.fandom.com/wiki/Droid_Commander_talent,True,False,Droid Commander-A,False,False
Duelist's Training,Passive,No,The character adds a boost dice to their Melee and Lightsaber checks when engaged with only a single opponent. A single minion group counts as multiple opponents.,https://star-wars-rpg-ffg.fandom.com/wiki/Duelist%27s_Training_talent,True,False,Duelist's Training-A,False,False
Durable,Passive,Yes,"The character may reduce a Critical Injury result they suffer by 10 per rank of Durable, to a minimum of one.",https://star-wars-rpg-ffg.fandom.com/wiki/Durable_talent,True,False,Durable-A,True,False
Dynamic Fire,Active (Incidental),No,"When making a ranged attack while engaged with an opponent, the character may suffer 2 strain to reduce the ranged modifier added for being engaged by 1 for the attack. So, when firing a Ranged (Heavy) weapon, the character only increases the difficulty by 1 when engaged, and when firing a Ranged (Light) weapon, they don't increase the difficulty at all.",https://star-wars-rpg-ffg.fandom.com/wiki/Dynamic_Fire_talent,True,False,Dynamic Fire-A,False,False
Ebb/Flow,Force Ability,Force Ability,"This force power allows one to either sap the stamina from their opponents, or empower themselves.",https://star-wars-rpg-ffg.fandom.com/wiki/Ebb/Flow,True,True,Ebb/Flow-A,False,True
Embrace Your Hate,Active (Incidental),Yes,"After making a successful Brawl, Lightsaber, or Melee combat check, the character may spend one Destiny Point and then gain Conflict equal to the number of dark side Destiny Points in the Destiny pool to add an equal amount of damage to one hit of the attack. The character may use this ability once per encounter for each rank of Embrace Your Hate. A character who has purchased one or more ranks of this talent automatically gains 1 Conflict at the beginning of a game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Embrace_Your_Hate_talent,True,False,Embrace Your Hate-A,True,False
Empty Soul,Passive,No,"Force talent. If the character is carrying items that total 2 encumbrance or less (after factoring in reductions such as for armor being worn), whenever they make a Force power check, they add a light and a dark Force point to the results. If a character normally carries items that total more than 2 encumbrance but discards or otherwise loses those items temporarily, the GM can rule that the character still does not gain the benefits of Empty Soul.",https://star-wars-rpg-ffg.fandom.com/wiki/Empty_Soul_talent,True,True,Empty Soul-A,False,False
Encoded Communiqué,Passive,No,Upgrade the difficulty of checks to decrypt the character's coded messages without the proper cipher a number of times equal to the character's ranks in Computers.,https://star-wars-rpg-ffg.fandom.com/wiki/Encoded_Communiqu%C3%A9_talent,True,False,Encoded Communiqué-A,False,False
Encouraging Words,"Active (Incidental, Out of Turn)",No,"When an ally within short range fails a check, the character may suffer 1 strain. If so, the character may assist the next check that an ally makes this encounter as an out-of-turn incidental (rather than as a maneuver). The GM has final say as to which actions can benefit from such assistance if the character is farther than engaged range.",https://star-wars-rpg-ffg.fandom.com/wiki/Encouraging_Words_talent,True,False,Encouraging Words-A,False,False
Endure,Force Ability,Force Ability,This force power allows one attuned with the force to feed off that power and temporarily ignore the effects of otherwise critical injuries - even completely avoid an injury.,https://star-wars-rpg-ffg.fandom.com/wiki/Endure,True,True,Endure-A,False,True
Enduring Presence,Passive,No,"Once per session, the character may upgrade the ability of a Mass Combat check (if they are the commander of the acting force) or the difficulty of a Mass Combat check (if they are commander of the enemy force) even if the character is not present or is prevented from communicating with their troops.",https://star-wars-rpg-ffg.fandom.com/wiki/Enduring_Presence_talent,True,False,Enduring Presence-A,False,False
Enduring,Passive,Yes,The character gains +1 soak value per rank of Enduring.,https://star-wars-rpg-ffg.fandom.com/wiki/Enduring_talent,True,False,Enduring-A,True,False
Energy Transfer,Active (Maneuver),No,"The character may suffer 1 strain to perform the Energy Transfer maneuver; when they do, they can power up an appropriate unpowered device (such as a datapad, a droid, or a door) until the end of the encounter. Alternatively, they can restore ammunition to an energy-based weapon, allowing a character to ignore an ""out of ammo"" despair result. The character must have at least one cybernetic installed to perform this maneuver.",https://star-wars-rpg-ffg.fandom.com/wiki/Energy_Transfer_talent,True,False,Energy Transfer-A,False,False
Engineered Redundancies,Passive,No,"The character benefits from emergency repair patches as if they were a droid. The character still benefits from a total of 5 stim packs and/or emergency repair patches per day. Additionally, the character can be healed with the Mechanics skill in the same manner as a droid.",https://star-wars-rpg-ffg.fandom.com/wiki/Engineered_Redundancies_talent,True,False,Engineered Redundancies-A,False,False
Enhance,Force Ability,Force Ability,This force power allows the user to fill their body with the power of the living force in order to make super-natural leaps and movements.,https://star-wars-rpg-ffg.fandom.com/wiki/Enhance,True,True,Enhance-A,False,True
Enhanced Leader,Passive,No,"Force talent. When make a Leadership check, the character may add Force dice no greater than Force rating to the check. The character may spend Force points to add success or advantages (character's choice) to the result.",https://star-wars-rpg-ffg.fandom.com/wiki/Enhanced_Leader_talent,True,True,Enhanced Leader-A,False,False
Essential Kill,Passive,No,"Force talent. When making a combat check that does not involve either using the Gunnery skill or operating a non-starship weapon, the character may add a Force dice no greater than their Force rating to the check. The character may spend a Force point to add an advantage result, or three Force points to add a triumph result (character's choice), to the result. Advantage results gained in this way cannot be used to recover strain.",https://star-wars-rpg-ffg.fandom.com/wiki/Essential_Kill_talent,True,True,Essential Kill-A,False,False
Exceed Specifications,Active (Incidental),No,"Before making a check using an item, the character may take the Exceed Specifications incidental, adding a boost dice to the check. The GM may spend two threats on the check to damage the item one step, or a despair to damage it beyond usability. Threats or despairs may have additional consequences depending on the nature of the item, at the GM's discretion.",https://star-wars-rpg-ffg.fandom.com/wiki/Exceed_Specifications_talent,True,False,Exceed Specifications-A,False,False
Improved Exceed Specifications,Passive,No,"When the character takes the Exceed Specifications incidental, upgrade the ability of the check once instead of adding a boost dice.",https://star-wars-rpg-ffg.fandom.com/wiki/Exceed_Specifications_talent,False,False,Exceed Specifications-B,False,False
Supreme Exceed Specifications,Active (Incidental),No,"If the character's check benefitting from the Exceed Specifications incidental generates a triumph, they may damage the item one step to roll one additional proficiency dice and add it to the check results. If the check generates a despair, roll a challenge dice and add it to the results.",https://star-wars-rpg-ffg.fandom.com/wiki/Exceed_Specifications_talent,False,False,Exceed Specifications-C,False,False
Exemplar Of The Republic,Active (Incidental),No,"Force talent. When making a Mass Combat check for which the character is the acting commander or takes a prominent role on the battlefield, the character may add Force dice no greater than their Force rating to the check. The character may spend Force points to add success or advantages (character's choice) to the result.",https://star-wars-rpg-ffg.fandom.com/wiki/Exemplar_Of_The_Republic_talent,True,True,Exemplar Of The Republic-A,False,False
Exhaust Port,Active (Incidental),No,"Before attacking a starship or vehicle, the character may spend 1 Destiny Point to ignore the effects of the Massive rule for the attack.",https://star-wars-rpg-ffg.fandom.com/wiki/Exhaust_Port_talent,True,False,Exhaust Port-A,False,False
Exhaustive Questioning,Active (Incidental),No,"Whenever the character makes a successful social skill check against a captured enemy within short range, they may reduce the enemy's strain threshold by 2 for the remainder of the session and spend an advantage to inflict 1 strain.",https://star-wars-rpg-ffg.fandom.com/wiki/Exhaustive_Questioning_talent,True,False,Exhaustive Questioning-A,False,False
Expert Handler,Passive,Yes,The character removes a setback dice per rank of Expert Handler of their Survival checks made to ride beasts.,https://star-wars-rpg-ffg.fandom.com/wiki/Expert_Handler_talent,True,False,Expert Handler-A,True,False
Expert Tracker,Passive,Yes,The character removes a setback dice per rank of Expert Tracker from their checks to find or follow tracks. Survival checks made to track targets take 50% less time than normal (this does not decrease with additional ranks of Expert Tracker).,https://star-wars-rpg-ffg.fandom.com/wiki/Expert_Tracker_talent,True,False,Expert Tracker-A,True,False
Extended Reach,Active (Incidental),No,"While armed with a two-handed melee weapon, the character may suffer one strain to make a Melee combat check with that weapon targeting an enemy at up to short range (rather than engaged range). The difficulty of the check remains Average.",https://star-wars-rpg-ffg.fandom.com/wiki/Extended_Reach_talent,True,False,Extended Reach-A,False,False
Eye For Detail,Active (Incidental),Yes,"After rolling the dice pool for a Mechanics or Computers check but before interpreting the results, the character may voluntarily suffer a number of strain no greater than ranks in Eye for Detail to convert that many success results into advantage results. (The character must still have at least a success in the results at the end to succeed on the check.)",https://star-wars-rpg-ffg.fandom.com/wiki/Eye_For_Detail_talent,True,False,Eye For Detail-A,True,False
Fall Back!,Active (Incidental),No,"While engaged with an opponent, the character may suffer a number of strain up to their ranks in Leadership to allow an equal number of allies to immediately disengage from that opponent as an out-of-turn incidental.",https://star-wars-rpg-ffg.fandom.com/wiki/Fall_Back!_talent,True,False,Fall Back!-A,False,False
Falling Avalanche,Active (Incidental),No,Force talent. Once per round the character may suffer 2 strain to add additional damage equal to Brawn to one hit of a successful Lightsaber combat check.,https://star-wars-rpg-ffg.fandom.com/wiki/Falling_Avalanche_talent,True,True,Falling Avalanche-A,False,False
Familiar Suns,Active (Maneuver),No,"Once per game session the character may perform a Familiar Suns maneuver to make a Hard Knowledge (Outer Rim) or Knowledge (Core Worlds) check. If successful, the character is familiar with the type of planetary environment they find themselves in. They know whether the planet is likely to be inhabited and, if so, where habitation can be found. They also know about unusual environmental effects, hostile predators, or sources of potential profit.",https://star-wars-rpg-ffg.fandom.com/wiki/Familiar_Suns_talent,True,False,Familiar Suns-A,False,False
Fancy Paint Job,Passive,No,"The character can upgrade the ability of all their Charm, Deception, and Negotiation checks made in the presence of their Signature Vehicle once.",https://star-wars-rpg-ffg.fandom.com/wiki/Fancy_Paint_Job_talent,True,False,Fancy Paint Job-A,False,False
Far Strike,Active (Action),No,"Force talent. The character may take the Far Strike action, making a Brawl combat check as a ranged attack at one target at short range or further, adding Force dice no greater than the character's Force rating to the check. The character may spend a Force point to increase the range of the attack by one range band per Force point spent, to a maximum of long. If the target is at medium range or further, the character must both sufficiently increase the range of the attack and succeed on the check to hit the target.",https://star-wars-rpg-ffg.fandom.com/wiki/Far_Strike_talent,True,True,Far Strike-A,False,False
Farsight,Force Ability,Force Ability,"This force power allows a blinded character to see as if they were not blind. By communing with the force, one may feel the presence of others and see more than the eyes could allow.",https://star-wars-rpg-ffg.fandom.com/wiki/Farsight,True,True,Farsight-A,False,True
Fated Duel,Signature Ability,Signature Ability,"This signature ability allows one to challenge an opponent to a duel, in which they may only make attacks against each-other.",https://star-wars-rpg-ffg.fandom.com/wiki/Fated_Duel,True,False,Fated Duel-A,False,True
Fear The Shadows,Active (Action),No,"Force talent. The character may perform the Fear the Shadows action. They make a Hard Deception check targeting a single minion group or rival within long range. If they succeed, that minion group or rival flees the encounter. At the GM's discretion, these NPCs may not flee due to extenuating circumstances (such as if there is no realistic path or means to leave the encounter, or if the only way to leave the encounter may result in their deaths from a dangerous fall or lethal atmosphere). A character who has purchased this talent automatically gains 1 Conflict at the beginning of a game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Fear_The_Shadows_talent,True,True,Fear The Shadows-A,False,False
Fearsome Rep,Passive,Yes,The character adds an automatic advantage to the results of their Coercion checks equal to their ranks in Fearsome Rep.,https://star-wars-rpg-ffg.fandom.com/wiki/Fearsome_Rep_talent,True,False,Fearsome Rep-A,True,False
Fearsome,Passive,Yes,"When an adversary becomes engaged with the character, the character may force the adversary to make a fear check, with the difficulty equal to the character's ranks in Fearsome. At the GM's discretion, some adversaries may be immune to this talent based on the type of adversary or the ongoing circumstances.",https://star-wars-rpg-ffg.fandom.com/wiki/Fearsome_talent,True,False,Fearsome-A,True,False
Feint,Passive,Yes,"Upon missing an opponent with a Lightsaber, Brawl, or Melee combat check, the character may spend a triumph or three advantage results to upgrade the difficulty of the opponent's next combat check targeting the character during this encounter by the character's ranks in Feint.",https://star-wars-rpg-ffg.fandom.com/wiki/Feint_talent,True,False,Feint-A,True,False
Feral Strength,Passive,Yes,The character adds 1 damage per rank of Feral Strength to one hit of their successful Brawl and Melee attacks.,https://star-wars-rpg-ffg.fandom.com/wiki/Feral_Strength_talent,True,False,Feral Strength-A,True,False
Field Commander,Active (Action),No,"The character may take a Field Commander action. By successfully passing an Average Leadership check, a number of allies equal to their presence may immediately suffer one strain to perform one maneuver. This does not count against the number of maneuvers they may perform in their turn. If there are any questions as to the order in which allies act, the character using Field Commander is the final arbiter.",https://star-wars-rpg-ffg.fandom.com/wiki/Field_Commander_talent,True,False,Field Commander-A,False,False
Improved Field Commander,Passive,No,"When taking a Field Commander action, the character may affect allies equal to twice their Presence. In addition, they may spend  a triumph result generated on their Leadership checks to allow one ally to suffer one strain to perform an action, rather than a maneuver.",https://star-wars-rpg-ffg.fandom.com/wiki/Field_Commander_talent,False,False,Field Commander-B,False,False
Fine Tuning,Passive,Yes,"Whenever the character repairs system strain on a starship or vehicle, they repair one additional system strain per rank of Fine Tuning.",https://star-wars-rpg-ffg.fandom.com/wiki/Fine_Tuning_talent,True,False,Fine Tuning-A,True,False
Fire Control,Active (Maneuver),No,"When in a starship or vehicle, the character can make a Fire Control maneuver. If they do so, all combat checks from the starship or vehicle count the silhouette of the target as one higher than normal until the beginning of the character's next turn. This effect does not stack with multiple uses of the Fire Control maneuver.",https://star-wars-rpg-ffg.fandom.com/wiki/Fire_Control_talent,True,False,Fire Control-A,False,False
Fire Support,Passive,Yes,"After the character makes a successful combat check using a vehicle weapon, the next ally to make a check adds a boost dice equal to the character's ranks of Fire Support.",https://star-wars-rpg-ffg.fandom.com/wiki/Fire_Support_talent,True,False,Fire Support-A,True,False
Fire When Ready,Active (Action),No,"The character may take the Fire When Ready action, making a Hard Leadership check. If the check succeeds, the character chooses a number of crew aboard their ship equal to their Presence. Those crew members downgrade the difficulty of their next Gunnery check once, plus one time for every additional two successes on the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Fire_When_Ready_talent,True,False,Fire When Ready-A,False,False
First Among Brothers,Passive,Yes,"When the character makes a check that does not result in any uncancelled threat results, add advantages equal to the character's ranks in First Among Brothers to the check results. The character may only spend these additional advantages to affect allied clones.",https://star-wars-rpg-ffg.fandom.com/wiki/First_Among_Brothers_talent,True,False,First Among Brothers-A,True,False
Flows Through All Things,Active (Maneuver),No,"Force talent. Once per round, the character may perform the Flows through all Things maneuver to recover strain equal to their Force rating.",https://star-wars-rpg-ffg.fandom.com/wiki/Flows_Through_All_Things_talent,True,True,Flows Through All Things-A,False,False
Focus/Rage,Force Ability,Force Ability,"The Force user embraces peace or passion, controlling their emotions to improve their prowess",https://cdn.discordapp.com/attachments/801970982663225414/1018643875692302346/Rage_Tree.png,True,True,Focus/Rage-A,False,True
Font Of Power,Active (Action),No,"Force talent. Once per game session, the character may perform the Font of Power action. For the remainder of the encounter, if the character is a light side user, whenever another Force user within medium range rolls a Force dice, add automatic light Force point to the results. If the character is a dark side Force user, whenever another Force user within medium range rolls a Force dice, add automatic dark Force point to the results.",https://star-wars-rpg-ffg.fandom.com/wiki/Font_Of_Power_talent,True,True,Font Of Power-A,False,False
For The Republic!,"Active (Incidental, Out of Turn)",No,"Once per encounter when an ally is incapacitated or killed, the character may perform the For the Republic! incidental. The character makes a Daunting Leadership check. If the check succeeds, the ally is not incapacitated or killed until the end of the following round, instead. If the character's wounds or strain are reduced below their threshold before the end of the next round, they are not incapacitated.",https://star-wars-rpg-ffg.fandom.com/wiki/For_The_Republic!_talent,True,False,For The Republic!-A,False,False
Forager,Passive,No,"The character removes up to two setback dice from their skill checks to find food, water, or shelter. Survival checks to forage take half the time.",https://star-wars-rpg-ffg.fandom.com/wiki/Forager_talent,True,False,Forager-A,False,False
Force Assault,Passive,No,"Force talent. Upon missing an opponent with a Lightsaber (Willpower) combat check, the character may spend a triumph or three advantage results to perform a Move Force power action as a maneuver this turn (the character must still be able to perform maneuvers and still may not perform more than two maneuvers in a turn). The character must have already purchased the Move Force power to use it as part of this ability.",https://star-wars-rpg-ffg.fandom.com/wiki/Force_Assault_talent,True,True,Force Assault-A,False,False
Force Connection,Passive,No,"Force talent. When the character performs a Survival or Knowledge (Xenology) skill check, they may roll a number of Force dice no greater than their Force rating. The character may spend a Force point to add a success or advantage (character's choice) to the result.",https://star-wars-rpg-ffg.fandom.com/wiki/Force_Connection_talent,True,True,Force Connection-A,False,False
Force Of Will,Active (Incidental),No,"Once per game session, the character can choose to make one skill check using Willpower rather than the characteristic linked to that skill. When they do this, they must explain how, in this particular instance, their willpower is helping them overcome this challenge.",https://star-wars-rpg-ffg.fandom.com/wiki/Force_Of_Will_talent,True,False,Force Of Will-A,False,False
Force Protection,Active (Maneuver),Yes,"Force talent. The character may take the Force Protection maneuver, suffering 1 strain and committing a number of Force dice no greater than Force rating or ranks of Force Protection. The character then increases their soak value by an equal amount. The character suffers 1 strain at the beginning of each of their turns in which they keep these dice committed.",https://star-wars-rpg-ffg.fandom.com/wiki/Force_Protection_talent,True,True,Force Protection-A,True,False
Force Rating,Passive,Yes,Force Talent. Each rank permanently increases the character's Force Rating by one.,https://star-wars-rpg-ffg.fandom.com/wiki/Force_Rating_talent,True,False,Force Rating-A,True,False
Foresee,Force Ability,Force Ability,"Force users often have precognitive flashes, experiencing waking dreams or visions about people and situations through their abilities. These powers are rarely so clear and obvious as to provide unequivocal visions of the future, but they are certainly enough to give Force users pause for thought when they have a ""bad feeling about something"". The power of foresight has been used in countless different ways by countless different Force users throughout history. Some use it to gain vague images far into the future, while others use it to predict the movements of their foes or see an unexpected event soon to happen.",https://star-wars-rpg-ffg.fandom.com/wiki/Foresee,True,True,Foresee-A,False,True
Forewarning,Active (Action),No,"Force talent. The character may take the Forewarning action. All allies within medium range increase their melee and ranged defense by a number equal to the character's Force rating until they take their first turn during an encounter. If they have already taken their first turn, Forewarning has no effect.",https://star-wars-rpg-ffg.fandom.com/wiki/Forewarning_talent,True,True,Forewarning-A,False,False
Form On Me,Passive,No,"When the character performs the Gain the Advantage action, a number of allied vehicles equal to their ranks in Leadership and within close range also gain the benefits of the action on the target. These allied vehicles maintain the benefits until they leave close range with the character or the character loses the benefits of Gain the Advantage.",https://star-wars-rpg-ffg.fandom.com/wiki/Form_On_Me_talent,True,False,Form On Me-A,False,False
Formation Tactics,Active (Action),No,"The character may take the Formation Tactics action by making a Hard Leadership check. If successful, they may choose a number of allies within short range equal to success results generated. The difficulty of attacks against these allies is upgraded once until the end of the character's next turn. The effects of this action do not stack.",https://star-wars-rpg-ffg.fandom.com/wiki/Formation_Tactics_talent,True,False,Formation Tactics-A,False,False
Improved Formation Tactics,Active (Maneuver),No,The difficulty of taking the Formation Tactics action is reduced to Average instead of Hard. The character may also spend a triumph result or six advantage results to have the effect last until end of encounter.,https://star-wars-rpg-ffg.fandom.com/wiki/Formation_Tactics_talent,False,False,Formation Tactics-B,False,False
Fortified Vacuum Seal,Passive,Yes,The character increases the hull trauma threshold of their Signature Vehicle by 1 per rank of Fortified Vacuum Seal.,https://star-wars-rpg-ffg.fandom.com/wiki/Fortified_Vacuum_Seal_talent,True,False,Fortified Vacuum Seal-A,True,False
Fortune Favors The Bold,"Active (Incidental, Out of Turn)",No,"Once per game session, as an out of turn incidental, the character may suffer two strain to flip one dark side Destiny point to a light side Destiny Point (this cannot be used to interrupt the spending of a Destiny Point).",https://star-wars-rpg-ffg.fandom.com/wiki/Fortune_Favors_The_Bold_talent,True,False,Fortune Favors The Bold-A,False,False
Freerunning,Active (Incidental),No,"Once per round, before performing a Move maneuver, the character may suffer 1 strain. If they do so, they may use their Move maneuver to move to any location within short range (even straight up) as long as there is some sort of object to move across or a path to move along.",https://star-wars-rpg-ffg.fandom.com/wiki/Freerunning_talent,True,False,Freerunning-A,False,False
Improved Freerunning,Active (Incidental),No,"Once per round, before performing a Move maneuver, the character may suffer 4 strain. If they do so, they may use their Move maneuver to move to any location within medium range (even straight up) as long as there is some sort of object to move across or a path to move along.",https://star-wars-rpg-ffg.fandom.com/wiki/Freerunning_talent,False,False,Freerunning-B,False,False
Frenzied Attack,Active (Incidental),Yes,"When making a Melee or Brawl combat check, the character may suffer a number of strain, then upgrade the ability of their combat check by that number. This number cannot exceed their ranks in Frenzied Attack.",https://star-wars-rpg-ffg.fandom.com/wiki/Frenzied_Attack_talent,True,False,Frenzied Attack-A,True,False
Full Stop,Active (Maneuver),No,"When piloting a ship or vehicle, the character may take the Full Stop maneuver to immediately reduce the speed of the ship or vehicle to zero. The ship or vehicle then suffers one point of system strain for every point of speed it had before stopping.",https://star-wars-rpg-ffg.fandom.com/wiki/Full_Stop_talent,True,False,Full Stop-A,False,False
Full Throttle,Active (Action),No,"The character may push a ship or vehicle past its limits of speed. They may perform the Full Throttle action, attempting a Hard Piloting check. With success, the ship's top speed increases by one for a number of rounds equal to Cunning. The ship cannot perform actions or maneuvers it could not perform normally (e.g., actions that have a minimum speed requirement).",https://star-wars-rpg-ffg.fandom.com/wiki/Full_Throttle_talent,True,False,Full Throttle-A,False,False
Improved Full Throttle,Active (Maneuver),No,"The character may voluntarily suffer one strain to attempt Full Throttle as a maneuver. In addition, the difficulty of Full Throttle is reduced to Average.",https://star-wars-rpg-ffg.fandom.com/wiki/Full_Throttle_talent,False,False,Full Throttle-B,False,False
Supreme Full Throttle,Passive,No,"When the character successfully performs Full Throttle, the ship's top speed increases by two for a number of rounds equal to their Cunning, instead of one.",https://star-wars-rpg-ffg.fandom.com/wiki/Full_Throttle_talent,False,False,Full Throttle-C,False,False
Galaxy Mapper,Passive,Yes,"The character removes a setback dice per rank of Galaxy Mapper from their Astrogation checks. In addition, Astrogation checks take 50% less time (this does not increase with additional ranks of Galaxy Mapper).",https://star-wars-rpg-ffg.fandom.com/wiki/Galaxy_Mapper_talent,True,False,Galaxy Mapper-A,True,False
Gearhead,Passive,Yes,"The character removes a setback dice per rank of Gearhead from their Mechanics checks. In addition, the credit cost to add mods to attachments decreases by 50% (this does not increase with additional ranks of Gearhead).",https://star-wars-rpg-ffg.fandom.com/wiki/Gearhead_talent,True,False,Gearhead-A,True,False
Get The Drop,Active (Incidental),No,"Once per session, the character and any number of allies in the current encounter may add success results equal to the character's ranks in Stealth to a check to determine Initiative order. The player must explain how their character's stealthy approach helps the PCs to get the drop on their opponents.",https://star-wars-rpg-ffg.fandom.com/wiki/Get_The_Drop_talent,True,False,Get The Drop-A,False,False
Go Without,Active (Incidental),No,"Once per session, the character may perform the Go Without incidental. If they do, they count as having the right tools for the job when performing the next skill check this turn.",https://star-wars-rpg-ffg.fandom.com/wiki/Go_Without_talent,True,False,Go Without-A,False,False
Good Cop,Passive,Yes,The character may spend two advantage results from a Charm or Negotiation check to upgrade the ability of a single ally's subsequent social interaction skill check against the same target in the same encounter. Upgrade the ability a number of times equal to the character's ranks in Good Cop. A single check may only benefit from one use of Good Cop.,https://star-wars-rpg-ffg.fandom.com/wiki/Good_Cop_talent,True,False,Good Cop-A,True,False
Grapple,Active (Maneuver),No,"Once per round, the character may perform the Grapple maneuver. Until the beginning of their next turn, enemies must spend two maneuvers instead of one maneuver to move from engaged range to short range of them.",https://star-wars-rpg-ffg.fandom.com/wiki/Grapple_talent,True,False,Grapple-A,False,False
Greased Palms,Active (Maneuver),Yes,"Before making a social interaction check, the character may perform a Greased Palms maneuver and spend up to 50 credits per rank of Greased Palms. For every 50 credits spent, the character upgrades the ability of the skill check once. How the money accomplishes this can be up to the player and GM, but could take the form of bribes, buying gifts, or even purchasing information that gives the character an advantage in the ensuing interaction.",https://star-wars-rpg-ffg.fandom.com/wiki/Greased_Palms_talent,True,False,Greased Palms-A,True,False
Grit,Passive,Yes,Each rank of Grit increases a character's strain threshold by one.,https://star-wars-rpg-ffg.fandom.com/wiki/Grit_talent,True,False,Grit-A,True,False
