,Equipment,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description,Type,Defense,Soak
96,DLS-12 Heavy Carbine,Ranged (Heavy),10,3,Medium,4,3,1350,7,No,"Auto-fire, Cumbersome 2",This Blastech blaster was designed near the end of the Clone Wars as a light-weight alternative to the available rifles.,weapon,,
97,DH-X Heavy Rifle,Ranged (Heavy),10,3,Long,7,4,1900,6,No,"Cumbersome 3, Pierce 2","One of the largest heavy blasters ever produced, this weapon can drop an opponent in single shot and fills a niche between rifles and repeaters.",weapon,,
98,Heavy Blaster Rifle,Ranged (Heavy),10,3,Long,6,4,1500,6,No,"Auto-fire, Cumbersome 3","These are heavier and more powerful versions of the standard Blaster Rifle, almost considered Repeaters. They are capable of powerful armour piercing and harassing smaller vehicles.",weapon,,
99,DC-15 Rifle,Ranged (Heavy),10,3,Long,6,4,2200,6,Yes,"Cumbersome 3, Pierce 1, Stun Setting","This was originally the standard issue longarm for clone troopers. The blaster is almost as long as a clone is tall, poorly balanced and too bulky for anything but open area use. However, they were popular due to the sheer power of the blast, capable of punching through laminate at 1000 metres.",weapon,,
100,DLT-19D Heavy Rifle,Ranged (Heavy),10,3,Long,5,1,3100,9,Yes,"Accurate 2, Auto-fire, Cumbersome 3, Pierce 2","This BlasTech weapon was produced for the Empire's elite Death Troopers, based off the DLT-19 used by standard stormtroopers. It features multiple improvements that make it especially good at long range. Reduce difficulty of Ranged combat checks at Long and Extreme range once.",weapon,,
101,E-11s Sniper,Ranged (Heavy),10,3,Extreme,6,3,3500,7,Yes,"Accurate 1, Cumbersome 2, Pierce 3, Slow-Firing 1","This was developed based off the Empire's E-11 blaster, designed to be the standard imperial marksman's rifle. It is quite easy to carry, built of a light-weight alloy, with a matte-finish to abosrb light and a triple-redundant cooling system to ensure the powerful blasts don't damage the rifle.",weapon,,
102,Disruptor Pistol,Ranged (Light),10,2,Short,2,2,3000,6,Yes,Vicious 4,"This is a rare weapon which fires an extremely powerful bolt of energy which tends to disintegrate flesh on impact. Whenever a critical injury is dealt, the minimum injury is the ""Crippled"" effect.

May not be modified to increase range.",weapon,,
103,Reciprocating Quad Cannon,Gunnery,10,2,Long,8,4,9950,8,Yes,"Auto-fire (Only), Breach 1, Cumbersome 4, Inaccurate 1, Prepare 2","This rather heavy weapon is secured by a harness and the wielder wears a portable fusion generator to power the large gun. However, it is rather dangerous to the user if the compensators are not properly configured for the recoil. May spend 4 disadvantages of a combat check to have the wielder suffer a critical hit (-50 to the roll).",weapon,,
104,Disruptor Rifle,Ranged (Heavy),10,2,Long,5,4,5000,6,Yes,"Cumbersome 2, Vicious 5","A larger and longer ranged disruptor weapon, it deals crippling damage to flesh and organic beings. Whenever a critical injury is dealt, the minimum injury is the ""Crippled"" effect.

May not be modified to increase range.",weapon,,
105,MR-90 Proton Rifle,Ranged (Heavy),10,2,Extreme,6,2,3100,8,Yes,"Accurate 1, Cumbersome 3, Knockdown","This rifle is considered one of the best weapons for sharpshooters, the best among proton rifles. Produced by Merr-Sonn, it is certainly top of the line for big-game hunting and even lightly armoured vehicles.",weapon,,
106,Nightstinger Blaster Rifle,Ranged (Heavy),10,2,Extreme,7,4,6500,9,No,"Accurate 2, Cumbersome 3, Pierce 1, Stun Setting","This powerful rifle was produced by the Xerrol Corporation for hunting big game at night, as it has a switch which allows the weapon to fire invisible blaster bolts. Due to this however, it has become illegal in most systems.",weapon,,
107,SX-21 Pump-Action Scatter Blaster,Ranged (Heavy),10,3,Short,6,4,1200,6,No,"Blast 6, Cumbersome 3, Prepare 1","Merr-Sonn Munitions' SX-21 pump-action scatter blaster is an oversized, overpowered weapon. Ideal for clearing out entrenched enemies and urban dwellings, the SX-21 fires a wide arc of blaster energy at short range. The scatter blaster relies on propietary one-shot gas canisters to produce an expanding arc of lethal energy. The pump action ejects used canisters and loads fresh ones. The SX-21 is popular with the Imperial Army, particularly when the army engages in trench warfare on planets like Hoth or Mimban.",weapon,,
108,Lightbow,Ranged (Heavy),11,3,Long,5,1,2000,8,No,"Blast 4, Knockdown, Pierce 3, Slow-Firing 1","Used by many Guardians of the Whills of Jedha, these bows are hand crafted upon completion of the seventh duan towards physical perfection.",weapon,,
109,Light Repeating Blaster,Ranged (Heavy),11,3,Long,7,4,2250,7,Yes,"Auto-fire, Cumbersome 4, Pierce 1","This heavier blaster weapon is used a support weapon by mercenary and military units, having a high rate of fire to suppress opponents.",weapon,,
110,Z-6 Rotary Blaster Cannon,Ranged (Heavy),12,4,Long,6,3,3000,7,Yes,"Auto-fire (Only), Cumbersome 3, Prepare 1","This was the heavy weapon of choice for Clone Troopers which specialized in providing cover fire and blasting through rows of droids. However, it is prone to overheating. May spend 2 threat or 1 despair from a combat check to have it overheat and damage the wielder by 2 strain, while the weapon becomes damaged by 1 step.",weapon,,
111,Droid Disabler,Ranged (Light),12,3,Short,1,1,1050,5,No,"Concussive 1, Ion, Limited Ammo 3","The droid disabler is a small ionization pistol designed to actually damage droids rather than merely incapacitate them. It can easily fuse the circuits of unshielded droids and cybernetics, rendering them no better than scrap. ",weapon,,
112,"VX ""Sidewinder"" Repeating Blaster",Gunnery,12,3,Long,8,4,3350,7,Yes,"Auto-fire, Cumbersome 5, Pierce 1, Vicious 1","This repeating blaster uses multiple rotating barrels to achieve the high rate of fire and reduce heat build-up, problems that appear in most repeating weapons, though this makes it quite heavy. Comes with a bipod attachment.",weapon,,
113,T-7 Ion Disruptor,Ranged (Heavy),12,2,Long,6,2,8000,9,Yes,"Blast 6, Breach 2, Cumbersome 3, Slow-Firing 1, Vicious 6","This weapon is primarily designed as an anti-vehicle and -aircraft weapon. It fires a plasma round which is capable of piercing through the tough armour of smaller vehicles - and de-atomizing entire groups of life forms at once. When a living target suffers a critical hit from this weapon, the minimum injury is ""Crippled"". Whenever a vehicle suffers a critical hit, the minimum damage is ""Component Hit"".",weapon,,
114,J-10 Dual Blaster Cannnon,Gunnery,13,2,Long,8,3,6750,7,Yes,"Cumbersome 5, Inaccurate 1, Linked 1","This weapon is typically mounted and was used by the Seperatist army's droids from fortified positions. However, it is poorly designed and both prone to overheating and not firing straight. May spend 2 threat or a despair result in combat to have the weapon overheat and damage the weapon by 1 step while dealing 2 strain to the wielder.",weapon,,
115,HOB Heavy Repeating Blaster,Gunnery,15,3,Extreme,10,4,6500,8,Yes,"Auto-fire, Cumbersome 6, Pierce 2, Vicious 1","This is a simple and robust repeating blaster, though it usually requires a crew of 2 to operate as an emplaced weapon. The weapon consumes a ton of energy as it launches thousands of blaster bolts. Comes with a tripod attachment, taking 2 preparation maneuvers to set up the weapon, and 2 maneuvers to set up the tripod.

Mechanics check to repair the weapon gain 1 boost dice.",weapon,,
116,Heavy Repeating Blaster,Gunnery,15,2,Long,9,4,6000,8,Yes,"Auto-fire, Cumbersome 5, Pierce 2, Vicious 1","These massive blaster weapons are barely able to be carried, used in tandem with tripods and power-packs. It takes 3 actions for a gun team to set up this weapon. Tripod attachment is included in the price of the weapon.",weapon,,
117,1.8 FD Autoturret,Gunnery,17,2,Extreme,25,0,12000,6,Yes,"Auto-fire, Slow-Firing 1, Limited Ammo 8",This weapon was built as a less powerful but automated version of the anti-vehicle P-tower. This variant is used as an anti-infantry weapon - though only has a limited power capacity if not plugged in. The turret may be wired to a power source with an easy (1 difficulty) mechanics check to remove the Limited Ammo quality.,weapon,,
118,8-Gauge Scatter Gun,Ranged (Heavy),7,6,Short,3,2,550,4,No,"Blast 3, Knockdown","This large and powerful slugthrower, despite being somewhat primitive, is capable of filling a starship's corridor with enough stopping power to halt an enemy incursion without the fear of damaging the flight systems and hull.",weapon,,
119,Arquebus,Ranged (Heavy),9,5,Long,3,4,1200,5,No,"Cumbersome 3, Prepare 1","This weapon was developed by the Vurk, and remains the staple rifle among sharpshooters on Sembla as the system never took in heavy industries. As a maneuver, a character may suffer up to 5 strain, allowing the next combat check with this weapon to gain Pierce with a rating equal to strain suffered.",weapon,,
120,ASP-9 Autopistol,Ranged (Light),4,5,Short,1,0,150,4,No,Auto-fire,"This small weapon fires volleys of small-calibre ammunition in as a simple package, allowing for more hits in a smaller package.",weapon,,
121,Assault Carbine,Ranged (Heavy),6,5,Short,4,1,250,4,No,"Auto-fire, Inaccurate 1","This slugthrower is produced by an obscure manufacturer, but praised for its high fire rate in the small package - however this is also where it gets its drawback, as it quickly runs out of ammunition. Weapon may run out of ammo with 2 disadvantages.
",weapon,,
122,Berserker Rifle,Ranged (Heavy),7,4,Medium,4,0,600,5,Yes,"Burn 1, Cumbersome 3, Disorient 1","Much like a scaled-down bowcaster, this weapon is found only on the outer rim and fringes of space. The weapon fires electrified micro-bolts.",weapon,,
123,DF-D1 Duo-Flechette Rifle,Ranged (Heavy),9,3,Short,3,3,1000,5,Yes,"Blast 4, Limited Ammo 5, Linked 1, Vicious 2","This weapon is relatively notorious, earning a bad reputation due to its use by indiscriminate assassins and bounty hunters. It causes a high number of injured due to the spread of the flechette's fire. Law enforcement is thus twitchy when it comes to confronting someone bearing this weapon.",weapon,,
124,FWG-5 Flechette Pistol,Ranged (Light),6,3,Short,1,2,825,7,Yes,"Guided 3, Limited Ammo 3","This pistol fires a laser-guided pellet filled with tiny needle-like darts, detonating on impact with an opponent and launching the cloud of flechettes deep into their target.",weapon,,
125,FWG-7 Flechette Carbine,Ranged (Heavy),5,3,Medium,5,3,1800,7,No,"Blast 4, Guided 2, Pierce 3","Produced by Malaxan Firepower Incorporated, this smart carbine is a heavier version of the FWG-5 pistol. It fires small canisters packed with dozens of flechettes which detonates near the target.",weapon,,
126,"KD-30 ""Dissuader"" Pistol",Ranged (Light),4,5,Short,2,0,350,6,No,"Pierce 2, Vicious 1","This pistol fires a round filled with a vicious acid which is capable of burning all the way to the bone. While it is outlawed in most of civilized space, they are a common sight in Hutt Space. Target struck by a round from this weapon suffers 1 wound ignoring soak at the beginning of their turn for 2 rounds.",weapon,,
127,KS-23 Hammer,Ranged (Heavy),8,4,Short,5,4,1500,5,No,"Blast 6, Knockdown","This slugthrower fires a canister of explosive pellets, which expands upon exiting the barrel - filling the area in front of the shooter with the dangerous ammunition. It is especially reliable and durable, gaining popularity in the Outer Rim where repair parts are often hard to come by.",weapon,,
128,"M9 ""Boomer"" Heavy Pistol",Ranged (Light),5,3,Medium,3,2,1000,6,No,"Blast 5, Cumbersome 2, Inaccurate 1",This 'hand cannon' is a slug thrower which fires large caliber rounds. These rounds are mini grenades that fire from a detachable box magazine. Getting 3 disadvantage results may cause the weapon to run out of ammunition in combat.,weapon,,
129,"Model 134a ""Buzzsaw"" Rotary Cannon",Gunnery,12,3,Long,8,4,4500,7,Yes,"Auto-fire, Cumbersome 5, Pierce 3","This is the heaviest Czerka produced portable slugthrower. It is a belt-fed rotary cannon that can fire thousands of rounds per second to shred through infantry groups and even light armoured vehicles. This weapon can only be fired using Auto-fire quality. Despair or 3 disadvantage results may cause the weapon to jam, requiring a maneuver to clear the jam.",weapon,,
130,Model 38 Rifle,Ranged (Heavy),8,3,Extreme,5,4,3000,6,No,"Accurate 2, Pierce 3","These weapons are built as legacy rifles, designed to order, they are crafted to user specifications - making aim extremely natural for the user. It is a bolt-action slugthrower rifle with 5 round magazines. If purchased second hand, lose Accurate quality until weapon is modified to fit new user with a Hard (3 difficulty) Mechanics check.

Special Ammunition:

Detonator round can be purchased for 450 credits until the weapon runs out of ammo.

Replace Pierce quality with Blast 5 and Knockdown qualities.",weapon,,
131,"Model 4 ""Thunderhead"" Scattergun",Ranged (Heavy),7,4,Short,4,3,700,5,No,"Blast 5, Vicious 1","This weapon, produced by Czerka, is a new design aiming to compete with Adostic Arms' 8-gauge scattergun. This slug-thrower is a semi-auto weapon that fires clouds of small pellets rather than bolts/slugs. As opposed to the AA8, this weapon fires a smaller shell packed with tiny explosive pellets, allowing for a lighter recoil.",weapon,,
132,"Model 57 ""Homesteader"" Hunting Rifle",Ranged (Heavy),7,5,Long,5,4,500,6,No,"Accurate 1, Cumbersome 2","This slugthrower is built by Czerka Arms built for the traditional explorer and hunter. Popular due to its reliability and accuracy, despite the weight. May be loaded with detonator rounds which adds Blast 4 and Knockdown to the weapon's qualities. Box of rounds costs 450 credits (rarity 7) - if the weapon runs out of ammunition, a new box must be bought.",weapon,,
133,Model 77 Air Rifle,Ranged (Heavy),6,-,Long,3,3,1100,6,No,"Pierce 4, Stun Damage","This air-rifle fires fin stabilised darts that are built in such a way that they can pierce the thickest hides. The darts are loaded with a basic tranquiliser, that can generally take down most animals. It can also be loaded with a heavy-duty stun dart that can take any target down immediately. Special Ammunition:

SmartTranq can be bought to fire with this weapon for 500 credits until weapon runs out of ammo.

Upon successful hit, target must make Average (2 difficulty) Resilience check. Upon failure, target suffers 5 strain, +2 strain per disadvantage result. Make the check against next round if a despair is rolled, with difficulty increased by 1.",weapon,,
134,"Model C ""Fiver"" Self-Defense Pistol",Ranged (Light),5,4,Short,2,1,200,4,No,"Accurate 1, Limited Ammo 5","The slugthrower pistol has a 5-round rotating magazine in a weapons package that's quite capable in close quarters fire-fights. However, once the rounds are spent, reloading takes a relatively excessive time, even for a slug thrower.",weapon,,
135,Panic Pistol,Ranged (Light),6,5,Short,1,0,400,3,No,Inaccurate 1,"This slugthrower is a quick and definitive answer to anyone getting too close. However, due to their cheap manufacture and sub-standard structure, they are prone to falling apart. While at engaged range, a character wielding a panic pistol does not add the +1 difficulty modifier for ranged attacks in melee. When using the weapon, 2 disadvantage results may cause damage to the weapon.",weapon,,
136,Selonian Shard Shooter,Ranged (Heavy),5,3,Medium,4,2,1500,7,No,"Auto-fire, Pierce 1",This peculiar weapon uses electromagnetic propulsion to fire bursts of crystalline shards that easily shred through armour and flesh.,weapon,,
137,SH-9 Pistol,Ranged (Light),4,5,Short,1,0,250,4,No,"Limited Ammo 5, Pierce 2","Sometimes, high tech is not the best tech. This antiquated pistol is designed with a compact and composite frame which may avoid detection by regular weapon scanners; as well as coming with an in-built silencer. Add 1 setback die to find the weapon on a person's body. Add 1 setback die to locate a concealed shooter of the pistol.",weapon,,
138,Slugthrower Pistol,Ranged (Light),4,5,Short,1,0,100,3,No,-,"This is a classical kinetic pistol, semi-automatic magazine fed or revolver-like action. They are considered antiques and are rarely used.",weapon,,
139,Slugthrower Rifle,Ranged (Heavy),7,5,Medium,5,1,250,3,No,Cumbersome 2,"Large and unwieldy kinetic weapons, from an older and uncivilised time. Most commonly seen used by Tusken raiders.",weapon,,
140,Verpine Heavy Shatter Rifle,Gunnery,15,2,Extreme,4,4,45000,8,No,"Accurate 2, Knockdown, Pierce 6","The Verpine heavy shatter rifle is a bulky projectile weapon which uses a magnetic field technology (like rail guns). Virtually silent, they fire hypersonic shards.",weapon,,
141,Verpine Shatter Pistol,Ranged (Light),8,3,Medium,1,2,15000,8,No,"Knockdown, Pierce 2","The Verpine shatter pistol is a small projectile weapon which uses a magnetic field technology (like rail guns). Virtually silent, they fire hypersonic shards.",weapon,,
142,Verpine Shatter Rifle,Ranged (Heavy),12,3,Extreme,3,3,30000,8,No,"Knockdown, Pierce 4","The Verpine shatter rifle is a heavy projectile weapon which uses a magnetic field technology (like rail guns). Virtually silent, they fire hypersonic shards.",weapon,,
143,Vodran Hunting Rifle,Ranged (Heavy),7,4,Long,4,2,800,7,No,Cumbersome 2,"These hunting rifles are typically hand crafted and found in the hands of Dianoga hunters. They are powerful enough for a hunt, but not the same power-level as basic blaster rifles. ",weapon,,
144,Poison Gas Grenade,Ranged (Light),-,-,Short,1,0,50,5,No,"Blast 2, Limited Ammo 1","The use of poison gas in battle is considered inhumane by most civilised people, but in Hutt Space that isn't an issue. This grenade quickly delivers a poison aerosol of the user's choice to the nearby area. Can be loaded with any poison or drug that can be inhaled. Successful hits with the weapon deliver the poison regardless of damage.",weapon,,
145,Wipe-3 Data-Purge Grenade,Ranged (Light),-,-,Short,1,0,100,7,No,Limited Ammo 1,"The SoroSuub's Wipe-3 is capable of scrambling data and memory banks of any electronic device. It is often kept by diplomats for the purpose of removing evidence that may cause issues for future diplomatic efforts. Any computer or similar device deals hit by the grenade loses all programming, memory and data stored - while remaining functional. A droid hit must make a Hard (3 difficulty) Resilience check or suffer 1 strain, plus 1 strain per failure result. A despair or 3 disadvantages may cause the droid to lose portions of their memory.",weapon,,
146,G-20 Glop Grenade,Ranged (Light),-,-,Short,1,0,100,6,No,"Blast -, Ensnare 3","This grenade is a non-lethal weapon made for capturing targets. It uses a specialised compound that expands rapidly in contact with oxygen and then hardens into an unbreakable substance for about 5 minutes. Ensnare quality triggers on hit (no need for disadvantages to activate).

Targets ensnared by target must make an Easy (1 difficulty) Coordination check. Upon failure, target begins to suffocate (as goop gets in their airways).

Grenades can be refilled with an Easy (1 difficulty) Ranged (Light) check. If failed with disadvantage results, the user is engulfed as the goop is exposed to air and expands rapidly. The refills cost 100 credits, first purchase of a grenade comes with 5 refills.",weapon,,
147,Spray Foam Grenade,Ranged (Light),-,-,Short,1,0,150,5,No,"Ensnare 4, Limited ammo 1","The Tenloss spray foam grenade detonates to produce a rapidly expanding foam polymer which may fill a volume up to three cubic metres. This polymer typically lasts a few minutes - however during that time, it is quite rigid. The ensnare quality triggers automatically on any target the weapon hits, with no need to spend advantage results.",weapon,,
148,Micro-Rocket Launcher Pistol,Ranged (Light),-,-,Medium,3,0,500,7,No,-,"This pistol is often mounted on armour or on a wrist, used by many bounty hunters due to the devastation payload that it is capable of delivering. The micro-rockets it fires are of various types, and capable of mounting a modification. Up to 3 micro-rockets may be loaded, replacing damage / crit and qualities of the launcher.",weapon,,
149,Blue Shadow Grenade,Ranged (Light),3,3,Short,1,0,2000,9,Yes,"Blast 3, Limited Ammo 1","The Blue Shadow Virus is the most terrifying of pathogens in the galaxy, being extremely virulent as well as extremely deadly. During the Candorian Scourge, a virus outbreak killed millions in only 48 hours. Since its containment, some of the most depraved scientist of the galaxy have succeeded in retro-engineering variants that die off rapidly, yet contain the same lethality as the original. All targets that suffer at least one wound from the grenade (or are within medium range of the detonation while not wearing a re-breather, sealed armour or other environmental protection) must make a Formidable (5 difficulty) Resilience check. Targets suffer 2 wounds and 2 strain per disadvantage, and a critical injury with a +50 modifier if they fail the check. A despair result means that they must make the check again at the start of their next turn as the virus runs rampant through their system.",weapon,,
150,N-4 Noise Grenade,Ranged (Light),4,6,Short,1,0,150,5,No,"Blast 4, Stun Damage, Concussive 1, Limited Ammo 1","The N-4 is a grenade that allows a diplomat to make an escape from a dangerous situation, but without lethally wounding a member of the negotiation (thus avoiding diplomatic disasters).",weapon,,
151,"HIC ""Mercy"" Grenade",Ranged (Light),5,None,Short,1,0,175,8,No,"Blast 5, Stun Damage, Limited Ammo 1","""Mercy"" or ""Nightmare"" grenades contain a hallucinogenic compound that distorts reality, causes paranoia, and a set of other psychological effects. Characters hit by this grenade must make a Hard (3 difficulty) Resilience check. Failure results in an incomplete or inaccurate memory of events that transpired during the encounter. Suffers disorientation for 1 round per disadvantage result.",weapon,,
152,Gungan Plasma Ball,Ranged (Light),5,3,Short,0,0,20,7,No,"Burn 1, Ion, Limited Ammo 1","These anti-technology weapons, built by the Gungans on Naboo, is a solid ball loaded with a fluid-like plasma which destroys droids.",weapon,,
153,Gungan Atlatl,Ranged (Light),5,3,Medium,2,0,100,7,No,"Accurate 1, Burn 1, Ion, Limited Ammo 1","A small hand-held catapult of sorts, used to throw gungan plasma balls more accurately. This throws gungan plasma balls which are 20 credits each.",weapon,,
154,Quillbomb,Ranged (Light),5,2,Short,1,0,100,6,Yes,"Pierce 2, Blast 3, Limited Ammo 1, Vicious 3","This is a traditional weapon developed by Thisspiasians for their royal guard. The weapon is inspired by the giant ystervark, a wild beast of their system. The armour piercing quills are the primary feature of this grenade, carrying within them a synthetic toxin that wrecks havoc within biological entities.",weapon,,
155,Knockout Mine,Ranged (Light),6,None,Short,1,0,200,6,No,"Stun Damage, Limited Ammo 1","Sought after as a non-lethal anti-personnel solution, these mines allow for an early warning system against unwanted intruders. Characters hit by the mine must pass a Hard (3 difficulty) Resilience check. Upon failure they become immobilized until the end of the encounter.",weapon,,
156,Spore/B Stun Grenade,Ranged (Light),6,3,Short,1,0,400,5,No,"Blast 6, Concussive 2, Limited Ammo 1, Stun Damage","Czerka Arms' Spore/B uses specialised airborne stun spores to disable opponents. These spores slow the absorption of oxygen into the blood stream - and for some people, the spores can cause respiratory failure, despite being marketed as non-lethal. When hit by the weapon (regardless of damage) for the first time, target must roll a single challenge die. Upon a despair result, suffer 6 strain and begin to suffocate. Hard (3 difficulty) Medicine check is required to stop the subject from suffocating.

Weapon is ineffective against targets with a breathing mask or sealed suit.",weapon,,
157,Stun Grenade,Ranged (Light),8,-,Short,1,0,75,4,No,"Disorient 3, Stun Damage, Blast 8, Limited Ammo 1",These non-lethal grenades are built to disable groups of enemies without causing damage or death. They can be set to detonate on impact or in 3 rounds.,weapon,,
158,Spore Stun Grenade,Ranged (Light),8,-,Short,1,0,100,7,No,"Blast 7, Limited Ammo 1, Pierce 3, Stun Damage",The stun grenade produced by Speizoc Arms employs active 'stun spores' rather than some form of electromagnetic wave. These spores act very quickly when inhaled or in contact with skin - however may be avoided using an environmentally sealed suit.,weapon,,
159,Mk II EMP Grenade,Ranged (Light),8,4,Short,1,0,150,5,No,"Blast 6, Disorient 3, Ion, Limited Ammo 1","Built specifically for the GAR by SoroSuub, this is the best anti-droid weapon produced and available to standard troopers.",weapon,,
160,Frag Grenade,Ranged (Light),8,4,Short,1,0,50,5,No,"Blast 6, Limited Ammo 1","A typical fragmentation grenade, used very commonly by militaristic groups. The grenade may be set to detonate after 3 rounds or on impact.",weapon,,
161,RGL-318 Rotary Grenade Launcher,Gunnery,8,4,Medium,5,3,1000,4,Yes,"Blast 6, Cumbersome 3, Limited Ammo 5","This carbine-sized weapon is produced by Locris Syndicates, capable of launching up to 6 grenades stored in a rotating chamber. It has been used by many militaries and law-enforcement agencies throughout the galaxy, going a long way to prove its reliability for what it does. Grenades cost the same as standard hand grenades, but are specifically designed for the weapon. Dealers typically offer a 50% discount on packs of 6. Grenades used as ammunition for this weapon cannot be thrown.",weapon,,
162,Z50 Grenade Launcher,Gunnery,8,4,Medium,5,3,1250,4,Yes,"Blast 6, Cumbersome 3, Limited Ammo 6","This easy to handle weapon is capable of launching explosive projectiles at a longer distance than one could ever throw a grenade. Although less powerful than a missile launcher, the ammunition is more readily available and lighter for transport. Does not include ammunition, sold separately in crates of 6 at a 50% discount. Any grenade can be loaded, but profile above shows standard frag grenades.

Grenades must be bought in a format for launcher, which cannot be used without the launcher.",weapon,,
163,FC1 Flechette Launcher,Gunnery,8,3,Medium,6,4,2500,6,Yes,"Blast 8, Cumbersome 3, Limited Ammo 4, Pierce 6, Prepare 1, Vicious 1","This weapon is a bulky and box shaped launcher with 4 launcher tubes that can fire one of two missile options. These will detonate close to a target, releasing a field of durasteel darts that shred through infantry and armour alike.",weapon,,
164,D-24 Inferno Grenade,Ranged (Light),8,3,Short,1,0,75,5,Yes,"Blast 5, Burn 2, Limited Ammo 1","This grenade, as all incendiary weapons, is banned on most worlds due to the horrendous wounds it leaves and the amount of collateral damage.",weapon,,
165,Incendiary Grenade,Ranged (Light),8,3,Short,1,0,125,6,Yes,"Blast 5, Burn 3, Limited Ammo 1","Highly restricted, these anti -personnel grenades are filled with volatile gel that bursts into flames in contact with oxygen.",weapon,,
166,WP-19 Incendiary Grenade,Ranged (Light),8,3,Short,1,0,125,6,Yes,"Blast 8, Burn 4, Limited Ammo 1","Merr-Sonn's WP-19 is a popular incendiary grenade available primarily on the black market, given that this form of weaponry is banned on virtually all core and mid-rim worlds.",weapon,,
167,WW-41 CryoBan Grenade,Ranged (Light),8,2,Short,1,0,220,7,No,"Blast 6, Disorient 3, Ensnare 3, Limited Ammo 1, Vicious 2","Designed as an emergency fire supression tool for extinguishing fires on ships and space stations, these Merr-Sonn explosives were occasionally re-purposed as grenades. Add 1 boost die to attempts to put out a fire.",weapon,,
168,Mini-Torpedo Launcher,Ranged (Heavy),8,2,Long,4,4,2000,6,No,"Blast 6, Cumbersome 2, Limited Ammo 2","The mini-toperdo launcher is a weapon designed for sub-aquatic combat situations. This is a portable version based off a weapon system integrated into heavy armour. Upgrade difficulty of combat checks outside water twice.

Weapon profile is using Anti-Personnel mini torpedo ammunition. Other mini-torpedoes are available, replacing the profile with that of the torpedo being used.",weapon,,
169,Mk.4 Heavy Frag Grenade,Ranged (Light),9,4,Short,1,0,75,5,Yes,"Blast 7, Limited Ammo 1, Cumbersome 2","This frag grenade has a stronger detonite charge and is packed with more shrapnel, together allowing for a larger and more damaging explosion. ",weapon,,
170,Molten Magnet,Ranged (Light),9,4,Short,1,0,1500,6,Yes,"Breach 1, Burn 1, Limited Ammo 1, Sunder","Magma from the Sembla system has such a composition that it exerts enough magnetic attraction to stick to metallic surfaces. Some rebel cells have been able to develop this property, using the power of a mystic, to create a magnetic grenade.",weapon,,
171,Ion Grenade,Ranged (Light),10,5,Short,1,0,65,4,No,"Blast 7, Disorient 5, Limited Ammo 1, Stun Damage (Droid Only)","These grenades are used to disrupt electrical and computer systems, easily able to eliminate groups of droids.",weapon,,
172,BKX-4 Grenade,Ranged (Light),10,5,Short,1,0,150,5,Yes,"Blast 8, Knockdown, Disorient 5, Limited Ammo 1","This grenade causes damage through shockwaves and pressure rather than material such as shrapnel. Despite this, it is capable of taking out groups of unarmoured infantry with ease. Disorient and Knockdown qualities affect all characters at short range if they are activated.",weapon,,
173,Concussion Grenade,Ranged (Light),10,5,Short,1,0,100,5,Yes,"Blast 8, Concussive 2, Disorient 5, Limited Ammo 1","The concussion grenade creates a lethal blast when it detonates, killing targets instantly near the blast point and creating a shockwave which incapacitates others that may survive. The disorient quality on this weapon affects all targets within short range of initial target if it is activated (like Blast usually would).",weapon,,
174,Sonic Grenade,Ranged (Light),10,4,Short,1,0,250,6,Yes,"Blast 8, Disorient 5, Limited Ammo 1, Stun Damage","Rare and exotic, the sonic grenade uses a powerful sound generator that may shatter glass, ferroconcrete and cripple enemy forces.",weapon,,
175,"RLR-331 ""Bulldog"" Rocket Rifle",Ranged (Heavy),10,4,Long,6,3,2200,7,Yes,"Blast 8, Cumbersome 3, Guided 3, Limited Ammo 6","Produced by Kelvarek Consolidated Arms' during the Clone Wars, this rocket launcher was used by the Separatists for their heavy-support B1 battledroids. Rockets cost 100 credits each, with a rarity of 5.",weapon,,
176,Knockout Grenade,Ranged (Light),12,None,Short,1,0,120,5,No,"Blast 10, Stun Damage, Limited Ammo 1",This non-lethal weapon is filled with a tranquilizer gas that rapidly subdues most living things within the blast radius. No effect on targets with breath masks or without respiratory systems.,weapon,,
177,Anti-Personnel Mine,Mechanics,12,3,Engaged,3,0,850,6,Yes,"Blast 4, Vicious 4, Limited Ammo 1","This smaller explosive is concealable and includes sensors which trigger upon detecting a passerby. The detonation is powerful, though may hurt allies inadvertently. ",weapon,,
178,Plasma Grenade,Ranged (Light),12,3,Short,1,0,125,6,No,"Blast 10, Limited Ammo 1","This grenade uses gas similar to that found in blaster weapons, leading to an explosion with the damage and effect of a blaster rifle.",weapon,,
179,Armour-Piercing Grenade,Ranged (Light),13,3,Short,1,0,100,6,No,"Blast 4, Limited Ammo 1, Pierce 3","These powerful grenades are usually equipped with a magnetic suite which allows them to attach to the armour of vehicles before detonating and ripping through the hull. As with frag grenades, it may be set to detonate after 3 rounds or on impact.",weapon,,
180,AP-M1 Grenade,Ranged (Light),13,3,Short,1,0,200,6,Yes,"Blast 4, Limited Ammo 1, Pierce 4",This grenade provides foot soldiers of military organisations with the capability of cracking light armoured units and vehicles. It is thrown or stuck onto plating using an adhesive system.,weapon,,
